5579385935,150,2025-04-20,447
8518263604,150,2025-04-06,58
7588887253,200,2025-04-20,102
8870296046,150,2025-01-26,348
1417586840,150,2025-03-02,0
2510452700,150,2025-03-02,349
8773012806,200,2025-05-04,0
5214714604,150,2025-01-19,256
6204985963,100,2025-01-19,653
3511704858,200,2025-01-05,0
0130655042,100,2025-04-20,250
5357095077,200,2025-04-13,496
2781788732,150,2025-03-09,344
8535755013,150,2025-03-09,0
8796190616,100,2025-01-05,218
1337548918,200,2025-03-16,507
7515472652,150,2025-03-16,260
0429743462,150,2025-03-02,406
7052643742,200,2025-04-20,451
7269579118,200,2025-05-04,442
8493732977,200,2025-05-04,0
0622423023,200,2025-01-05,0
4289290950,150,2025-03-09,0
8783056707,100,2025-03-09,295
7788531832,150,2025-05-25,338
2079622845,200,2025-03-16,317
4353605960,100,2025-01-19,282
2552137038,100,2025-05-04,242
0373293148,150,2025-04-20,262
0524922269,200,2025-04-27,2294
4631053595,200,2025-03-16,873337
6701214725,100,2025-05-25,285
1270648831,100,2025-03-23,158
3865368856,200,2025-01-19,1861
7370317337,200,2025-03-09,0
6913261506,100,2025-01-26,239
3477548382,100,2025-04-27,0
0030657194,150,2025-05-25,1172
4543930484,200,2025-01-19,1768
8514888577,100,2025-03-30,582
5525732678,150,2025-03-16,1995
5984745484,100,2025-04-20,209
5868873080,150,2025-04-27,428
7625252080,200,2025-04-06,0
2353568548,200,2025-01-26,435
8597046826,100,2025-04-06,170
3901323153,200,2025-04-06,574
1346757797,200,2025-03-30,408
1833863897,150,2025-03-02,170
8258563842,150,2025-04-20,274
4589065588,200,2025-01-26,372
5369451990,100,2025-05-25,0
3442193274,100,2025-05-18,273
5747257372,100,2025-04-27,230
7240672280,100,2025-04-27,651
5837024461,200,2025-03-02,2003
0634742349,150,2025-04-20,0
9013818141,200,2025-01-26,0
9924919796,150,2025-05-18,1232
6872049310,200,2025-04-13,189161
1769354645,150,2025-01-26,0
6944686968,100,2025-05-18,0
4198921382,200,2025-04-27,0
9896686340,100,2025-04-06,244
0439479692,150,2025-05-04,1107
0482922058,200,2025-04-27,0
9473458086,150,2025-03-16,287
8322092394,100,2025-01-05,645
2630086404,150,2025-03-30,449
5357711800,150,2025-01-12,444
8344763763,100,2025-04-13,0
9005080295,150,2025-05-04,0
6379582597,150,2025-05-25,248
5554425963,100,2025-01-05,753
5331473878,200,2025-03-02,531
2574373719,150,2025-03-30,229
6667851383,200,2025-05-04,2764
0582990360,150,2025-01-05,0
5646075892,100,2025-01-19,0
8979296475,200,2025-01-19,0
0413650111,200,2025-03-23,2033
9335488184,150,2025-05-04,0
7981542390,150,2025-03-02,0
1725798588,200,2025-04-20,474
4708635263,200,2025-04-06,0
4446308243,150,2025-03-23,417
2151713126,150,2025-05-11,447
6754222755,150,2025-03-02,379
2240771050,200,2025-03-23,0
4529577105,200,2025-04-13,581
1404086376,100,2025-01-05,1030
5544549200,200,2025-01-26,0
6417680383,100,2025-03-23,1203
6511810214,200,2025-04-06,0
2416972537,150,2025-05-04,0
1111902881,200,2025-03-09,0
3042182823,150,2025-05-18,1030498
2990854279,200,2025-04-06,0
4741015726,150,2025-01-12,2924879
4334573037,100,2025-03-16,198
1621291050,100,2025-05-04,132
5844587368,150,2025-03-16,0
5472856373,100,2025-01-26,230
1164399169,150,2025-01-12,1050
6879733734,150,2025-01-05,0
7362772559,100,2025-03-02,502
8429792208,100,2025-01-26,0
3876890006,150,2025-05-25,414
3472356237,150,2025-05-11,344
3030312353,200,2025-04-13,0
1881234825,100,2025-01-12,763
9827880111,150,2025-05-18,1673
1020038182,200,2025-04-27,1152969
2974606477,150,2025-01-05,0
7314206543,100,2025-05-25,232
7482379353,150,2025-05-11,299
3912397130,150,2025-04-06,0
1505723845,100,2025-04-27,0
9594401856,200,2025-03-23,0
2301541092,200,2025-03-02,0
9926241980,100,2025-05-11,143
9100577668,150,2025-03-16,54
7343955908,200,2025-04-06,529
6098960323,100,2025-04-06,188
5480818632,100,2025-05-25,279
9398844314,150,2025-04-20,4678097
